43|0.000000|0.413194
50|0.416666|0.829861
58|0.833333|1.246527
50|1.249999|1.444444
58|1.666666|2.079860
50|2.083333|2.496527
58|2.499999|2.913193
50|2.916665|3.328124
43|3.333332|3.764491
50|3.768114|4.199274
58|4.202897|4.634056
50|4.637679|4.730071
58|5.072462|5.503621
50|5.507244|5.938404
55|5.942027|6.373186
58|6.376809|6.806157
48|6.811592|7.240991
55|7.244615|7.681608
63|7.685284|8.133708
55|8.137555|8.637377
60|8.641763|9.163692
63|9.168078|9.639310
41|9.643098|10.120293
48|10.124024|10.522516
57|10.525565|10.872911
48|10.875785|11.246947
57|11.249923|11.619736
48|11.622941|11.998127
57|12.001750|12.379975
46|12.498076|12.945099
53|12.949563|13.511770
58|13.516770|13.894258
50|14.160119|14.796274
54|14.239766|14.796274
60|14.319553|14.796274
43|17.085813|17.514548
50|17.518020|17.902567
58|17.905732|18.292113
50|18.295537|18.699786
58|18.703164|19.096209
50|19.099374|19.475956
43|19.479120|19.866337
50|19.869670|20.252734
58|20.255820|20.623432
48|20.626557|21.011325
55|21.014658|21.398072
60|21.401197|21.778160
55|21.781449|22.167886
60|22.171051|22.547257
63|22.550421|22.934208
41|22.937455|23.310670
48|23.313795|23.685670
57|23.688795|24.066923
46|24.070128|24.454898
53|24.458188|24.849635
45|24.852924|25.244371
43|25.247661|25.638745
50|25.641991|26.021159
58|26.024324|26.397702
50|26.400867|26.783051
58|26.786298|27.170689
50|27.173814|27.540599
43|27.543647|27.908375
50|27.911500|28.291928
58|28.295218|28.677171
48|28.680336|29.051342
55|29.054428|29.423495
63|29.426659|29.811658
55|29.814948|30.216619
60|30.219908|30.601454
63|30.604579|30.971364
41|30.974412|31.345553
48|31.348758|31.737542
57|31.740707|32.117876
46|32.121081|32.528080
53|32.531552|32.944747
45|32.948219|33.364626
43|33.368004|33.754484
50|33.757689|34.143378
58|34.146583|34.531383
48|34.534717|34.931293
55|34.934583|35.331414
63|35.334661|35.724271
41|35.727605|36.113902
48|36.117107|36.501552
57|36.504757|36.892720
46|36.896098|37.281446
53|37.284736|37.652979
45|37.656066|38.030427
43|38.033674|38.412175
50|38.415422|38.789877
58|38.792889|39.157320
45|39.160445|39.532320
51|39.535445|39.911847
55|39.915052|40.296462
50|40.299667|40.681077
57|40.684282|41.065692
66|41.068897|41.450307
43|41.453512|41.830094
50|41.833258|42.206669
58|42.209681|42.576408
48|42.579573|42.939817
55|42.942903|43.317377
63|43.320426|43.689744
41|43.692909|44.069491
48|44.072655|44.449237
57|44.452402|44.837686
46|44.841020|45.216741
53|45.219866|45.596448
45|45.599613|45.976195
43|45.979359|46.360769
50|46.363974|46.745384
58|46.748589|47.129999
48|47.133204|47.514614
55|47.517819|47.899229
63|47.902434|48.283844
41|48.287049|48.716350
48|48.719872|49.113939
57|49.117144|49.498554
43|49.501759|49.690861
50|49.694066|49.883169
55|49.886374|50.075476
58|50.078681|50.267784
55|50.270989|50.460091
50|50.463296|50.652399
43|50.655604|50.842313
50|50.845477|51.034888
55|51.038135|51.222278
58|51.225327|51.406056
