2.647056|65*0|
3.044114||65*0
3.088232|67*0|
3.485290||67*0
3.529408|69*0|
4.323525||69*0
4.411760|69*0|
4.808818||69*0
4.852936|72*0|
5.249994||72*0
5.294112|74*0|
6.088229||74*0
6.176464|74*0|
6.573522||74*0
6.617640|81*0|
7.014698||81*0
7.058816|79*0|
7.455874||79*0
7.499992|77*0|
7.897050||77*0
7.941168|77*0|
8.338226||77*0
8.382344|74*0|
8.779402||74*0
8.823520|72*0|
10.411754||72*0
10.588224|74*0|
10.985282||74*0
11.029400|72*0|
11.426458||72*0
11.470576|72*0|
11.867634||72*0
11.911752|69*0|
12.308810||69*0
12.352928|67*0|
12.749986||67*0
12.794104|65*0|
13.191162||65*0
13.235280|62*0|
13.632338||62*0
13.676456|65*0|
14.073514||65*0
14.117632|67*0|
16.499982||67*0
16.764688|65*0|
17.161746||65*0
17.205864|67*0|
17.602922||67*0
17.647040|69*0|
18.441157||69*0
18.529392|69*0|
18.926450||69*0
18.970568|72*0|
19.367626||72*0
19.411744|74*0|
20.205861||74*0
20.294096|74*0|
20.691154||74*0
20.735272|81*0|
21.132330||81*0
21.176448|79*0|
21.573506||79*0
21.617624|77*0|
22.014682||77*0
22.058800|77*0|
22.455858||77*0
22.499976|79*0|
22.897034||79*0
22.941152|77*0|
24.529386||77*0
24.705856|72*0|
25.499973||72*0
25.588208|72*0|
25.985266||72*0
26.029384|69*0|
26.426442||69*0
26.470560|76*0|
26.867618||76*0
26.911736|77*0|
27.308794||77*0
27.352912|65*0|
27.749970||65*0
27.794088|67*0|
28.191146||67*0
28.235264|69*0|
29.823498||69*0
29.999968|67*0|
31.191143||67*0
31.323496|65*0|
31.720554||65*0
31.764672|65*0|
34.941139||65*0
38.823488|69*0|
39.617605||69*0
39.705840|69*0|
40.102898||69*0
40.147016|67*0|
40.544074||67*0
40.588192|69*0|
41.382309||69*0
42.352896|69*0|
42.749954||69*0
42.794072|72*0|
43.191130||72*0
43.235248|69*0|
43.632306||69*0
43.676424|67*0|
44.073482||67*0
44.117600|69*0|
45.705834||69*0
45.882304|65*0|
46.676421||65*0
46.764656|65*0|
47.161714||65*0
47.205832|67*0|
47.602890||67*0
47.647008|69*0|
48.044066||69*0
48.088184|72*0|
48.485242||72*0
48.529360|69*0|
49.323477||69*0
49.411712|67*0|
50.205829||67*0
50.294064|67*0|
50.691122||67*0
50.735240|65*0|
51.132298||65*0
51.176416|67*0|
51.970533||67*0
52.941120|69*0|
53.735237||69*0
53.823472|72*0|
54.220530||72*0
54.264648|69*0|
54.661706||69*0
54.705824|74*0|
55.102882||74*0
55.147000|72*0|
56.338175||72*0
56.470528|74*0|
56.867586||74*0
56.911704|72*0|
57.308762||72*0
57.352880|72*0|
57.749938||72*0
57.794056|69*0|
58.191114||69*0
58.235232|72*0|
59.426407||72*0
59.558760|60*0|
59.955818||60*0
59.999936|69*0|
60.794053||69*0
60.882288|67*0|
61.279346||67*0
61.323464|69*0|
61.720522||69*0
61.764640|72*0|
62.558757||72*0
62.646992|69*0|
63.044050||69*0
63.088168|67*0|
63.485226||67*0
63.529344|67*0|
64.323461||67*0
64.411696|67*0|
64.808754||67*0
64.852872|65*0|
65.249930||65*0
65.294048|67*0|
66.088165||67*0
66.176400|65*0|
66.573458||65*0
66.617576|72*0|
67.014634||72*0
67.058752|69*0|
67.852869||69*0
67.941104|69*0|
68.338162||69*0
68.382280|67*0|
68.779338||67*0
68.823456|69*0|
69.617573||69*0
70.588160|69*0|
70.985218||69*0
71.029336|72*0|
71.426394||72*0
71.470512|69*0|
71.867570||69*0
71.911688|67*0|
72.308746||67*0
72.352864|69*0|
73.941098||69*0
74.117568|65*0|
74.911685||65*0
74.999920|65*0|
75.396978||65*0
75.441096|67*0|
75.838154||67*0
75.882272|69*0|
76.279330||69*0
76.323448|72*0|
76.720506||72*0
76.764624|69*0|
77.558741||69*0
77.646976|67*0|
78.441093||67*0
78.529328|67*0|
78.926386||67*0
78.970504|65*0|
79.367562||65*0
79.411680|67*0|
80.205797||67*0
81.176384|69*0|
81.970501||69*0
82.058736|72*0|
82.455794||72*0
82.499912|69*0|
82.896970||69*0
82.941088|74*0|
83.338146||74*0
83.382264|72*0|
84.573439||72*0
84.705792|74*0|
85.102850||74*0
85.146968|72*0|
85.544026||72*0
85.588144|72*0|
85.985202||72*0
86.029320|69*0|
86.426378||69*0
