40|4.679167|4.937500|10
42|4.910417|5.183333|9
44|5.143750|5.420833|8
45|5.385417|5.639583|7
47|5.643750|5.904167|6
49|5.877083|6.179167|8
51|6.143750|6.391667|7
52|6.389583|6.691667|6
54|6.635417|6.927083|9
56|6.866667|7.133333|8
57|7.100000|7.329167|7
59|7.327083|7.600000|6
61|7.564583|7.852083|8
63|7.806250|8.047917|7
64|8.056250|8.345833|6
66|8.293750|8.587500|9
68|8.531250|8.789583|8
69|8.764583|8.995833|7
71|9.020833|9.279167|6
73|9.252083|9.550000|8
75|9.525000|9.758333|7
76|9.756250|10.000000|6
75|9.983333|10.275000|7
73|10.227083|10.452083|8
71|10.481250|10.735417|6
69|10.716667|11.010417|7
68|10.970833|11.281250|8
66|11.216667|11.439583|9
64|11.470833|11.781250|6
63|11.754167|12.050000|7
61|12.012500|12.243750|8
59|12.262500|12.508333|6
57|12.497917|12.779167|7
56|12.729167|13.035417|8
54|12.981250|13.208333|9
52|13.245833|13.558333|6
51|13.512500|13.795833|7
49|13.760417|13.991667|8
47|14.020833|14.291667|6
45|14.266667|14.556250|7
44|14.512500|14.820833|8
42|14.766667|15.008333|9
40|15.000000|16.745833|10
